nama_rumah,alamat,harga,deskripsi,Tayang Sejak,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Sertifikat,Kondisi,Kelengkapan,Jumlah Lantai,Menghadap,Daya Listrik,Parkir,AC,Kitchen Set,Alat Dapur,Water Heater,Air Sumur Bor,Balkon,One Gate,Pengamanan,Air PAM,Kolam Renang,K. Pembantu,Tayang Sejak1,Luas Tanah1,Luas Bangunan1,Kamar Tidur1,Kamar Mandi1,Sertifikat1,Kondisi1,Kelengkapan1,Jumlah Lantai1,Menghadap1,Parkir1,Kolam Renang1,AC1,One Gate1,Pengamanan1,Wilayah,url
Rumah Mewah Murah Royal Batavia Cluster Blossom," Royal Batavia, Tangerang Kab",760.000.000,"Deskripsi dan SpesifikasiRumah mewah harga murah, harga louncingJaya group memoersembah kan distrik baru di pasar Kemis, royal Batavia dengan cluster blossomFree AJB dan BPHTB InfoNur Sodik081380003345",15 jam yang lalu,84 m2,94 m2,4,3,SHM - Sertifikat Hak Milik,Baru,Kosongan,2,-,22000 VA,- ,1,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/395124-rumah-mewah-murah-royal-batavia-cluster-blossom
"Griya Sutera Balaraja Rumah Subsidi Paling Strategis, dekat Exit Toll"," Telaga Sari Balaraja, Tangerang Kab",181.000.000,"Deskripsi dan SpesifikasiMiliki Kemudahan Rumah Bersubsidi dikawasan Exclusive Telaga Bestari dan Lavon.Griya Sutera Balaraja dibangun di Lahan seluas 80 ha, Lokasi Sangat Strategis Bintang 5akses Tol 700 m pintu Tol Balaraja Barat dan Timur. Type Rumah 26/60Harga Rp. 168 Jt.Uang Muka Rp. 8 400 000.Note blm termasuk biaya lain2Estimasi cicilan15 tahun 1.330.00020 tahun 1.110.00010 tahun. 1.800.000Pilihan unit :1. Rumah siap huni2.Rumah Indentuntuk DP dapat dicicil 6 bulan.Lahan yang sudah dibangun 10 ha900 unit lebih sdh berdiri bangunan.Mari Bergabung bersama kamiTinggal di Griya Sutera Tangerang.GRIYA SUTERA ADALAH PELOPORRUMAH BERSUBSIDI DEKAT DENGAN AKSES TOL JKT-MERAKARTINYA : GRIYA SUTERA TANGERANG DIBANGUN DILINGKUNGAN YGSUDAH RAMAI.Dekat Dengan :1. Perumahan Mewah Telaga Bestari dan Lavon2. Transpotasi Umum 24 Jam.3. 200 m ke Jalan Raya serang km 23 (Propinsi jkt-Serang)4. Sekolah, Rumah sakit, Mall5. akses pintu ToL Balaraja Timur & Barat 700 m.More infoNur Sodik081380003345",15 jam yang lalu,60 m2,30 m2,2,1,SHM - Sertifikat Hak Milik,Baru,Kosongan,1,-,13000 VA,1 mobil ,,,,,1,,,,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/405542-griya-sutera-balaraja-rumah-subsidi-paling-strategis-dekat-exit-toll
Rumah Murah Bersubsidi Pemerintah Griya Sutera Balaraja," Griya Sutera Balaraja 087888704213, Tangerang Kab",181.000.000,"Deskripsi dan SpesifikasiKompleks rumah subsidi Tangerang bernama Griya Sutera Balaraja disebut-sebut sebagai rumah yang diincar oleh banyak orang. Pasalnya, kawasan perumahan yang berlokasi di Talagasari, Kec. Balaraja, Kabupaten Tangerang, Banten ini hanya 5 menit dari akses Gerbang Tol Balaraja Timur dan Barat.Akses Dan Sarana TransportasiBagi para penghuni perumahan ini yang ingin memanfaatkan moda transportasi umum, bisa menuju ke Stasiun KRL Tigaraksa dalam 20 menit, ke Terminal Tigaraksa ditempuh dalam 25 menit, dan hanya 2 menit jika ingin ke Terminal Balaraja.Fasilitas KesehatanPuskemas TangerangRS Paramita TangerangRSUD BalarajaRS Ibu & AnakCiputra HospitalRS Hermina Cikupa TangerangFasilitas PendidikanSDN 3 BalarajaSMPN 1 BalarajaSMAN 19 TangerangSMAN 1 Kabupaten TangerangTK-SD-SMA Tarakanita Citra RayaUniversitas Esa Unggul Citra RayaHarga KPR subsidiBiaya surat surat dan DP bisa di cicil 12 xSimulasi angsuran20 tahun. 1.1 jutaan15 tahun. 1.3 jutaan10 tahun. 1.8 jutaanNur Sodik",15 jam yang lalu,60 m2,30 m2,2,1,SHM - Sertifikat Hak Milik,Baru,Kosongan,1,Timur,1300 VA,- ,,,,,1,,,,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/406134-rumah-murah-bersubsidi-pemerintah-griya-sutera-balaraja
"Rumah 2 Lantai di Royal Batavia, by Jaya Group, Harga Promo"," Royal Batavia, Tangerang Kab",700.000.000,Deskripsi dan SpesifikasiMiliki segera hunian impian kamu di Royal Blossom dengan berbagai promo menarik spesial oktobest deals ini dengan harga mulai 700 Jutaan.-Cicilan 24X-Cicilan 3 JT-an-DP Hanya 10%-GET LUCKY DIPSegera amankan unitnya sekarang juga!Info Lengkap Tentang Royal Blossom HubungiNUR SODIK,15 jam yang lalu,84 m2,94 m2,4,3,SHM - Sertifikat Hak Milik,Baru,Kosongan,2,Timur,2200 VA,2 mobil ,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/412850-grand-batavia-royal-batavia-jaya-group-berlokasi-di-pasar-kemis
Kontrakan 3 Pintu di Cikupa Bojong Tangerang Akses Motor," Cikupa Bojong Tangerang, Tangerang Kab",210.000.000,Deskripsi dan SpesifikasiDi jual : Kontrakan 3 pintu Lokasi : bojong cikupa Tangerang ✅ luas tanah 61 meter ✅ surat AJB ✅ air sanyo sumur bor ✅ akses jalan cuma bisa masuk motor doang ( mobil tidak bisa masuk ) ke jalan mobil sekitar 80 meteran Harga cash 210 juta nego tipis Pembayaran cash tidak bisa di cicil 😆🫢🫢Minat serius segera hubungi whatsapp : 0857 7671 4548,17 jam yang lalu,61 m2,36 m2,3,3,HGB - Hak Guna Bangunan,Bekas,Semi Furnished,1,Utara,900 VA,1 mobil ,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/417703-kontrakan-3-pintu-di-cikupa-bojong-tangerang-akses-motor
Perumahan Cluster Garden City Sarakan Sepatan," Pisangan Sepatan Tangerang, Tangerang Kab",385.000.000,"Deskripsi dan SpesifikasiDi pasarkan : Perumahan cluster garden city Sarakan Lokasi Pisangan sepatan Tangerang Type 36/602 kamar tidur Harga jual 301 juta Booking fee 2 juta Untuk pilih unit blok rumah nya Uang muka 20 juta 150 ribu Bisa di cicil 10 x bayar / 10 bulan Dan buka tabungan baru di bank sekitar 15 juta kurang lebih ############Type 36/72 2 kamar tidur Harga jual 358 juta Booking fee 2 juta Untuk pilih unit blok rumah nyaUang muka 23 juta Bisa di cicil 10 x bayar / 10 bulanDan buka tabungan baru di bank sekitar 20 juta Gaji penghasilan minimal 10 juta Contoh : Gaji suami 7 juta Gaji istri 3 juta bisa Konsumen wira usaha dagang juga bisa ya terima kasih BANGUNAN PAKAI HEBEL TEMBOK DOUBLE DINDING Lokasi strategis : ✅ 500 meter ke jalan raya gede Pisangan Tangerang ✅ dekat ke alfamart dan indomaret ✅ dekat ke sekolahan sd, smp dan sma ✅ 10 menit ke pasar Pisangan Tangerang ✅ 35 menit ke bandara soekarno hattaInfo pemesanan segera hubungi Marketing kami : Telepon telepon / whatsapp 0857 7671 45480812 8856 8498",17 jam yang lalu,72 m2,36 m2,2,1,SHM - Sertifikat Hak Milik,Baru,Semi Furnished,1,Utara,1300 VA,1 mobil ,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/399932-perumahan-cluster-garden-city-sarakan-sepatan
"Kontrakan 11 Pintu di Pasar Kemis Tangerang, Surat Sertifikat"," Pasar Kemis Tangerang, Tangerang Kab",700.000.000,"Deskripsi dan SpesifikasiDi jual ; Kontrakan 11 pintu Lokasi ; di pasar Kemis Tangerang 👉 Luas tanah 290 meter 👉 1 pintu , 1 ruangan 👉 Surat sertifikat 👉 Air Sanyo sumur bor 👉 Akses jalan bisa masuk mobil Harga cash 700 juta nego tipis Pembayaran cash tidak bisa di cicil 🤭🤭Minat serius segera hubungi ; Telpon / WhatsApp 0857 7671 45480813 1633 8419",17 jam yang lalu,290 m2,280 m2,11,11,SHM - Sertifikat Hak Milik,Bekas,Semi Furnished,1,Utara,900 VA,- ,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/306213-kontrakan-11-pintu-di-pasar-kemis-tangerang-surat-sertifikat
Perumahan Cluster Grand Viola Rajeg Type 36 / 72," Pangadegan Rajeg, Tangerang Kab",385.000.000,"Deskripsi dan SpesifikasiDi pasarkan ; Rumah komersil Perumahan cluster grand viola Type 36 / 72 2 kamar tidur Booking fee 5 juta Untuk pemesanan unit blok rumah nya Harga jual 385 jutaDP 0 % tidak ada Biaya proses KPR BPHTB , notaris , dll sekitar 20 juta sampai 25 juta Gaji penghasilan minimal 12 juta , slip gaji suami dan istri di gabung juga bisa - Rumah nya menunggu kurang lebih 6 bulan baru jadiLokasi strategis dekat ; - dekat ke Alfamart dan Indomaret - dekat ke sekolahan sd , SMP dan SMA - hanya 15 menit ke pasar kutabumi Tangerang - hanya 40 menit ke bandara Soekarno Hatta Info pemesanan segera hubungi marketing kami ; Telpon / WhatsApp 0857 7671 4548",17 jam yang lalu,72 m2,36 m2,2,1,SHM - Sertifikat Hak Milik,Baru,Semi Furnished,1,Utara,1300 VA,1 mobil ,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/306689-perumahan-cluster-grand-viola-rajeg-type-36-72
"Kontrakan 5 Pintu di Curug Tangerang, Akses Jalan Cuma Bisa Masuk meter"," Curug Tangerang, Tangerang Kab",400.000.000,"Deskripsi dan SpesifikasiDi jual ; Kontrakan 5 pintu Lokasi ; Curug Tangerang - luas tanah 120 meter - 1 pintu 3 sekat , kamar mandi di dalam - surat sertifikat - air Sanyo sumur bor - akses jalan cuma bisa masuk motor doang ( mobil tidak bisa masuk ) - hanya 25 menit ke tol Bitung Tangerang Harga cash 400 juta nego tipis Pembayaran cash tidak bisa di cicil Minat serius segera hubungi ; Telpon / WhatsApp 0857 7671 4548",17 jam yang lalu,120 m2,85 m2,5,5,SHM - Sertifikat Hak Milik,Bekas,Semi Furnished,1,Utara,900 VA,- ,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/306895-kontrakan-5-pintu-di-curug-tangerang-akses-jalan-cuma-bisa-masuk-meter
Perumahan Rahayu Mulya Residence Rajeg Tahap ke 2 Over Kredit," Rajeg Kukun Tangerang, Tangerang Kab",85.000.000,"Deskripsi dan SpesifikasiDi jual ; Rumah over KREDITPerumahan Rahayu Mulya residence Rajeg tahap ke 2Type 30/60 2 kamar tidur , angsuran baru jalan 1 tahun , dari kpr 18 tahun , Cicilan per bulan 1 , 1 juta , sisa kredit tinggal 17 tahun lagi lunas , dapur rumah nya belum ada ya , akses jalan bisa masuk mobil , hanya 10 menit ke Polsek Rajeg kukun Tangerang , hanya 20 menit ke pasar Sepatan Tangerang , harga Over kredit 85 juta nego tipisPembayaran cash tidak bisa di cicil Minat serius segera hubungi ; Telpon / WhatsApp 0857 7671 45480858 8888 6274",17 jam yang lalu,60 m2,30 m2,2,1,HGB - Hak Guna Bangunan,Bekas,Semi Furnished,1,Utara,1300 VA,1 mobil ,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/333797-perumahan-rahayu-mulya-residence-rajeg-tahap-ke-2-over-kredit
Perumahan Cluster Mustika Mekarsari Residence Rajeg," Rajeg Kukun Tangerang, Tangerang Kab",367.000.000,"Deskripsi dan SpesifikasiPerumahan cluster MUSTIKA MEKARSARI residence rajeg Type 30/662 kamar tidur Dp nol % tidak ada Harga jual 367 jutaBooking fee 2 . 5 jutaUntuk pilih unit blok rumah nya Biaya surat surat BPHTB sekitar 49 juta Bisa di cicil 8 x bayar / 8 bulan KPR BANK BTN Angsuran komersilRUMAH NYA MENUNGGU KURANG LEBIH 10 BULAN BARU JADI gaji penghasilan minimal 12 juta Contoh : Gaji suami 7 juta Gaji istri 5 juta bisa Lokasi strategis : 👉 500 meter dari masjid kongsi baru Rajeg 👉 dekat ke sekolahan sd, smp, dan sma 👉 10 menit ke MCD DONAL GRAND BATAVIA RAJEG👉 45 menit ke bandara soekarno hattaAngsuran per bulan 3 . 5 juta kurang lebihBangunan pakai bata merah Tinggal 3 unit lagi ya rumah nya yang masih kosong Minat serius segera hubungi Marketing kami : Telepon / whatsapp 0857.7671 45480812 8856 8498",17 jam yang lalu,66 m2,30 m2,2,1,SHM - Sertifikat Hak Milik,Bekas,Semi Furnished,1,Utara,1300 VA,1 mobil ,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,Kabupaten Tangerang,https://www.realoka.com/365087-perumahan-cluster-mustika-mekarsari-residence-rajeg
